method,topology,tier1,tier2,total
Q-Learning,0,8.9767,5.4290,14.4057
Q-Learning,1,8.9259,4.0818,13.0078
Q-Learning,2,8.9943,6.8539,15.8483
Q-Learning,3,8.9293,4.1223,13.0516
Q-Learning,4,8.8628,5.4399,14.3027
Q-Learning,5,8.9661,4.0351,13.0013
Q-Learning,6,9.0096,4.9909,14.0005
Q-Learning,7,8.8627,5.1009,13.9636
Q-Learning,8,7.7382,6.3147,14.0528
Q-Learning,9,8.9406,4.7040,13.6445
Random,0,2.7056,2.2977,5.0033
Random,1,2.8351,2.2473,5.0824
Random,2,2.7748,2.2075,4.9823
Random,3,2.9088,2.3308,5.2395
Random,4,2.7889,2.3804,5.1693
Random,5,2.6085,2.3086,4.9170
Random,6,2.7943,2.4965,5.2908
Random,7,2.6872,2.3402,5.0274
Random,8,2.7698,2.1410,4.9108
Random,9,2.9456,2.3814,5.3271
MaxPower+Greedy,0,1.9775,5.1835,7.1610
MaxPower+Greedy,1,2.0264,4.9158,6.9422
MaxPower+Greedy,2,2.0141,5.3980,7.4121
MaxPower+Greedy,3,1.9751,4.4066,6.3816
MaxPower+Greedy,4,1.9972,4.6732,6.6704
MaxPower+Greedy,5,1.9134,5.1975,7.1109
MaxPower+Greedy,6,1.9176,5.5098,7.4274
MaxPower+Greedy,7,1.7903,4.7033,6.4936
MaxPower+Greedy,8,2.0246,5.5148,7.5394
MaxPower+Greedy,9,2.2677,5.4032,7.6709
BestUniform+Greedy,0,2.0254,5.2292,7.2546
BestUniform+Greedy,1,2.0182,5.0238,7.0420
BestUniform+Greedy,2,2.0115,5.3241,7.3357
BestUniform+Greedy,3,2.0278,4.4036,6.4314
BestUniform+Greedy,4,2.0725,4.5552,6.6277
BestUniform+Greedy,5,1.9111,5.3380,7.2491
BestUniform+Greedy,6,2.0374,5.4876,7.5250
BestUniform+Greedy,7,1.8602,4.7324,6.5926
BestUniform+Greedy,8,1.9920,5.4745,7.4665
BestUniform+Greedy,9,2.2242,5.4462,7.6704
